dcterms:identifier,dcterms:title
75,5　　建長2年12月　日　　薩摩入来院内村々田地年貢等注文（＃７５）_nakamura196maeda
49,9　　正応元年10月3日　　蒙古合戦勲功賞配分状（＃４９）_nakamura196maeda
148,5　　(至徳2年カ)8月9日　名和慈冬書状（＃１４８）_nakamura196maeda
160,4　　元徳4年3月10日　　_薩摩高城郡本萬徳名等辨済使兼快契状（＃１６０）_nakamura196maeda
174,7　　(至徳2年)2月23日　_今川了俊(貞世)書状（＃１７４）_nakamura196maeda
158,1　　(年月日欠)　　　　_鎮西裁許状（＃１５８）_nakamura196maeda
170,5　　永和2年5月15日　　_今川了俊(貞世)自筆内書（＃１７０）_nakamura196maeda
164,8　　(年未詳)12月27日　_川上忠克書状（＃１６４）_nakamura196maeda
71,1　　（永伝元年カ）　　_田畠薗地并屋敷注文（＃７１）_nakamura196maeda
65,10　　元弘元年9月11日　　渋谷定円(重基)譲状案（＃６５）_nakamura196maeda
59,4　　貞和5年閏6月23日　_渋谷重勝同日一筆譲状（＃５９）_nakamura196maeda
206,10　　明徳2年10月28日　　今川了俊(貞世)知行充行状（＃２０６）_nakamura196maeda
212,16　　(応安7年)4月20日　_今川了俊(貞世)書状（＃２１２）_nakamura196maeda
207,11　　至徳3年10月29日　　今川了俊(貞世)知行充行状（＃２０７）_nakamura196maeda
58,3　　貞和5年閏6月23日　_渋谷重勝同日一筆譲状（＃５８）_nakamura196maeda
64,9　　文永7年10月15日　　渋谷定仏(重経)同公重連署和与状案（＃６４）_nakamura196maeda
70,15　　元弘3年11月10日　　渋谷重利証状（＃７０）_nakamura196maeda
165,9　　文明13年6月23日　　渋谷重豊請文案（＃１６５）_nakamura196maeda
171,3　　(永徳2年カ)8月12日_今川了俊(貞世)自筆書状（＃１７１）_nakamura196maeda
159,3　　(年月日欠)　　　　_東郷道重充某譲状（＃１５９）_nakamura196maeda
99,7　　嘉暦4年5月99日　　_渋谷惟重遺領等注進状案（＃９９）_nakamura196maeda
167,11　　文明13年8月　　　　渋谷重聡起請文案（＃１６７）_nakamura196maeda
173,6　　(年未詳)4月13日　　今川了俊(貞世)自筆書状（＃１７３）_nakamura196maeda
66,11　　建長3年3月　日　　_藤原光平外三名連署入来院堺注文案（＃６６）_nakamura196maeda
198,4　　(応永2年カ)正月6日_今川了俊(貞世)自筆書状（＃１９８）_nakamura196maeda
72,2　　元享2年3月13日　　_薩摩入来院内清敷北方水田検注帳（＃７２）_nakamura196maeda
8,8　 文和2年10月9日　　_足利義詮御判御教書案（＃８）_nakamura196maeda
239,長享元年10月20日　_薩摩郡羽島検地日記（＃２３９）_nakamura196maeda
211,15　　至徳2年2月7日　　　今川了俊(貞世)感状（＃２１１）_nakamura196maeda
205,9　　(至徳2年カ)8月10日_今川了俊(貞世)挙状（＃２０５）_nakamura196maeda
204,8　　(年未詳)6月5日　　_今川了俊(貞世)自筆書状（＃２０４）_nakamura196maeda
210,14　　至徳3年5月13日　　_今川了俊(貞世)恩賞充行状（＃２１０）_nakamura196maeda
238,(年月日欠)　　　　_薩摩入来院内山之手手持分帳（＃２３８）_nakamura196maeda
9,9　 観応2年7月30日　　_足利直冬下文（＃９）_nakamura196maeda
73,3　　元亨2年3月13日　　_薩摩入来院内清敷南方水田検注帳（＃７３）_nakamura196maeda
67,16　　元弘3年11月10日　　渋谷重棟同重利連署去状包紙（＃６７）_nakamura196maeda
199,2　　(年未詳)6月5日　　_今川了俊(貞世)自筆書状（＃１９９）_nakamura196maeda
172,4　　(至徳3年)10月29日　今川了俊(貞世)自筆書状（＃１７２）_nakamura196maeda
98,6　　嘉暦4年5月99日　　_渋谷惟重遺領等注進状案（＃９８）_nakamura196maeda
166,10　　文明13年6月22日　　島津武久契状案（＃１６６）_nakamura196maeda
101,2　　文治3年7月　日　　_大蔵種章解状（＃１０１）_nakamura196maeda
115,16　　(年月日欠)　　　　_某手日記（＃１１５）_nakamura196maeda
129,8　　元応元年11月14日　_薩摩入来院塔原領家方夏物年貢請取状（＃１２９）_nakamura196maeda
28,2　 (慶保6年)10月27日　関東御教書案（＃２８）_nakamura196maeda
14,4　 (天文5年カ)6月3日　島津勝久書状（＃１４）_nakamura196maeda
15,5　 (天文8年カ)10月3日_島津勝久書状（＃１５）_nakamura196maeda
29,3　 (慶保6年)11月26日　島津忠久袖加判中務丞忠俊奉書写（＃２９）_nakamura196maeda
128,7　　建保5年8月　日　　_源宗久愁状（＃１２８）_nakamura196maeda
114,15　　(至徳3年カ)5月23日_宮内大輔守政書状（＃１１４）_nakamura196maeda
100,1　　元応2年9月2日　　　本田暁道請文（＃１００）_nakamura196maeda
116,17　　(年月日欠)　　　　_某手日記（＃１１６）_nakamura196maeda
102,3　　寿永2年8月8日　　　島津庄別当伴信明解状（＃１０２）_nakamura196maeda
17,1　 慶長19年10月16日　_島津家久条目（＃１７）_nakamura196maeda
16,6　 (年未詳)正月20日　_島津忠治書状（＃１６）_nakamura196maeda
103,4　　久安3年2月9日　　　薩摩入来院弁済使別当伴信房解状（＃１０３）_nakamura196maeda
117,18　　至徳3年5月22日　　_宮内大輔守政奉書（＃１１７）_nakamura196maeda
113,14　　(年月日欠)　　　　_河縁殿知行分薗地目録（＃１１３）_nakamura196maeda
107,8　　乾元2年8月10日　　_大前則道和与状（＃１０７）_nakamura196maeda
12,2　 (天文8年)10月1日　_島津勝久書状（＃１２）_nakamura196maeda
13,3　 (天文5年カ)6月3日　島津勝久書状（＃１３）_nakamura196maeda
106,7　　文明13年4月2日　　_薩摩入来院天福寺至林霊供田請取状（＃１０６）_nakamura196maeda
112,13　　延文5年4月19日　　_渋谷重門寄進状（＃１１２）_nakamura196maeda
138,18　　嘉慶元年11月28日　_宮内大輔和元名字書出案（＃１３８）_nakamura196maeda
104,5　　至徳元年8月23日　　薩摩入来院最禅寺住持惠棟譲状（＃１０４）_nakamura196maeda
110,11　　(年未詳)9月5日　　_畠山直顕書下（＃１１０）_nakamura196maeda
11,1　 (年未詳)11月2日　　島津忠治書状（＃１１）_nakamura196maeda
39,13　 応永30年8月30日　　島津存忠(久豊)起請文（＃３９）_nakamura196maeda
38,12　 永享8年9月14日　　_島津忠国安堵状（＃３８）_nakamura196maeda
10,10　 康永2年4月12日　　_足利直義軍勢催促状（＃１０）_nakamura196maeda
111,12　　貞和7年3月18日　　_武光重兼譲状（＃１１１）_nakamura196maeda
105,6　　貞和2年12月7日　　_鎮西沙汰事書并足利直義御教書案（＃１０５）_nakamura196maeda
139,19　　嘉慶元年11月28日　_宮内大輔和元名字書出案（＃１３９）_nakamura196maeda
120,21　　永仁6年7月20日　　_異国要害石築地配分状案（＃１２０）_nakamura196maeda
134,14　　明徳元年11月14日　_今川了俊(貞世)知行充行状（＃１３４）_nakamura196maeda
108,9　　応永7年12月21日　　渋谷重茂避状（＃１０８）_nakamura196maeda
21,5　 (年未詳)12月21日　_島津忠治書状（＃２１）_nakamura196maeda
35,9　 応永7年12月13日　　島津久哲(伊久)預ケ状（＃３５）_nakamura196maeda
242,(年月日欠)　　　　_坪付注文断簡（＃２４２）_nakamura196maeda
34,8　 応永10年12月7日　　島津守久知行充行状（＃３４）_nakamura196maeda
20,4　 慶長5年10月10日　　島津維新(義弘)知行充行状（＃２０）_nakamura196maeda
109,10　　嘉暦2年9月28日　　_鎮西御教書（＃１０９）_nakamura196maeda
135,15　　延慶4年2月20日　　_入来院塔原国方用途返抄（＃１３５）_nakamura196maeda
121,22　　建武元年9月8日　　_二牟礼の六郎二郎入道在家得分注文（＃１２１）_nakamura196maeda
137,17　　明徳5年4月25日　　_今川了俊(貞世)感状（＃１３７）_nakamura196maeda
123,2　　(年月日欠)　　　　_渋谷為重重陳状（＃１２３）_nakamura196maeda
36,10　 (応永10年)12月13日_島津元久書状（＃３６）_nakamura196maeda
22,6　 明応4年11月24日　　島津忠治書状（＃２２）_nakamura196maeda
241,文明5年10月18日　　坪付注文帳（＃２４１）_nakamura196maeda
23,7　 (年未詳)8月24日　　島津忠治書状（＃２３）_nakamura196maeda
37,11　 応永10年11月29日　_島津元久知行充行状（＃３７）_nakamura196maeda
122,1　　正嘉2年9月　日　　_薩摩国司庁宣（＃１２２）_nakamura196maeda
136,16　　明徳3年11月15日　　渋谷重茂名字書出案（＃１３６）_nakamura196maeda
132,12　　至徳2年2月4日　　　渋谷重頼軍忠状（＃１３２）_nakamura196maeda
126,5　　延慶4年3月4日　　　入来院塔原領家文書代用途免除状（＃１２６）_nakamura196maeda
33,7　 (年未詳)2月19日　　島津師久去状（＃３３）_nakamura196maeda
27,1　 応永10年12月13日　_島津元久契状（＃２７）_nakamura196maeda
32,6　 寛正3年3月24日　　_島津立久知行充行状（＃３２）_nakamura196maeda
127,6　　文明13年6月1日　　_木場重着避状（＃１２７）_nakamura196maeda
133,13　　延文2年正月20日　　渋谷重勝寄進状（＃１３３）_nakamura196maeda
119,20　　(年月日欠)　　　　_渋谷重門遺状（＃１１９）_nakamura196maeda
125,4　　寛元4年12月9日　　_藤原頼嗣袖加判下文（＃１２５）_nakamura196maeda
131,11　　建保5年9月26日　　_島津庄政所施行状（＃１３１）_nakamura196maeda
24,8　 (年未詳)10月3日　　島津義久書状礼紙書（＃２４）_nakamura196maeda
30,4　 正平13年8月12日　　島津道鑑(貞久)同師久連署避状案（＃３０）_nakamura196maeda
18,2　 慶長19年10月16日　_島津家久条目案（＃１８）_nakamura196maeda
19,3　 元亨2年8月22日　　_薩摩守護島津貞久請文（＃１９）_nakamura196maeda
31,5　 寛正3年3月24日　　_島津立久契状（＃３１）_nakamura196maeda
25,9　 (慶長10年カ)4月1日_島津維新(義弘)書状（＃２５）_nakamura196maeda
130,2　　元亨4年12月16日　　鎮西裁許状２／３（＃１３０）_nakamura196maeda
124,3　　延徳4年3月1日　　　渋谷重聡田地并所当注文（＃１２４）_nakamura196maeda
118,19　　(年未詳)2月11日　　宮内大輔三雄書状（＃１１８）_nakamura196maeda
143,23　　応永27年6月29日　　周頼名字書出（＃１４３）_nakamura196maeda
157,14　　(至徳2年カ)2月7日　宮内大輔三雄挙状（＃１５７）_nakamura196maeda
81,6　　宝治元年8月5日　　_伴信俊同信忠同信資連署起請文（＃８１）_nakamura196maeda
95,20　　元徳元年10月20日　_関東下知状案（＃９５）_nakamura196maeda
180,13　　応安5年11月25日　　今川了俊(貞世)書下（＃１８０）_nakamura196maeda
194,27　　至徳3年4月3日　　　今川了俊(貞世)安堵状（＃１９４）_nakamura196maeda
42,16　 寛正7年4月16日　　_島津立久起請文（＃４２）_nakamura196maeda
56,1　　建長2年10月20日　　渋谷定心置文案（＃５６）_nakamura196maeda
4,4　 正平19年2月1日　　_後村上天皇綸旨（＃４）_nakamura196maeda
235,10　　(年月日欠)　　　　_武光伊兼所領注文案（＃２３５）_nakamura196maeda
221,8　　応長2年6月17日　　_武光法忍(師兼)同日一筆譲状（＃２２１）_nakamura196maeda
209,13　　(永和3年)3月21日　_今川了俊(貞世)書状（＃２０９）_nakamura196maeda
208,12　　応安5年12月25日　　今川了俊(貞世)軍勢催促状（＃２０８）_nakamura196maeda
220,7　　永和4年2月19日　　_武光心賢(兼氏)譲状（＃２２０）_nakamura196maeda
234,9　　(年月日欠)　　　　_薩摩高城郡吉枝名実検帳（＃２３４）_nakamura196maeda
57,2　　嘉元3年3月10日　　_入来院市比野村名主友家証状（＃５７）_nakamura196maeda
5,5　 正平22年2月10日　　後村上天皇綸旨（＃５）_nakamura196maeda
43,17　 文明13年6月23日　　島津武久契状（＃４３）_nakamura196maeda
195,28　　永和3年3月21日　　_今川了俊(貞世)書状（＃１９５）_nakamura196maeda
181,14　　永和3年9月15日　　_今川了俊(貞世)書状（＃１８１）_nakamura196maeda
94,19　　正平22年1月29日　　渋谷重門置文（＃９４）_nakamura196maeda
80,5　　寛元3年5月11日　　_渋谷定心置文（＃８０）_nakamura196maeda
156,13　　(至徳2年カ)4月21日_宮内大輔三雄挙状（＃１５６）_nakamura196maeda
142,22　　応永24年9月20日　　伊集院道応(頼久)知行充行状（＃１４２）_nakamura196maeda
154,11　　嘉慶2年4月26日　　_室町将軍家御教書（＃１５４）_nakamura196maeda
140,20　　(年未詳)正月　日　_渋谷重長請文案（＃１４０）_nakamura196maeda
168,12　　文明13年8月　　　　渋谷重聡起請文案（＃１６８）_nakamura196maeda
82,7　　建長2年4月28日　　_関東裁許状案（＃８２）_nakamura196maeda
197,30　　(永和2年)9月4日　　今川了俊(貞世)書状（＃１９７）_nakamura196maeda
69,14　　康永2年2月8日　　　渋谷定円(重基)譲状（＃６９）_nakamura196maeda
183,16　　応安6年2月23日　　_今川了俊(貞世)軍勢催促状（＃１８３）_nakamura196maeda
7,7　 正平6年8月3日　　　後村上天皇綸旨（＃７）_nakamura196maeda
55,24　　嘉暦3年12月19日　　沙弥某召文奉書案（＃５５）_nakamura196maeda
41,15　 応永18年9月15日　　島津久世知行充行状（＃４１）_nakamura196maeda
222,9　　応安元年10月25日　_武光心呈(重兼)譲状（＃２２２）_nakamura196maeda
236,11　　元徳3年7月13日　　_武光日妙(経兼)譲状案（＃２３６）_nakamura196maeda
223,10　　(年月日欠)　　　　_薩摩高城郡辨済使并吉枝名相伝系図（＃２２３）_nakamura196maeda
40,14　 文明13年8月22日　　島津武久契状（＃４０）_nakamura196maeda
6,6　 文中1年12月21日　　征西将軍宮(懐良親王)令旨（＃６）_nakamura196maeda
182,15　　(年未詳)10月19日　_今川了俊(貞世)書状（＃１８２）_nakamura196maeda
196,29　　永徳2年5月30日　　_今川了俊(貞世)書下（＃１９６）_nakamura196maeda
68,13　　貞和2年11月26日　　渋谷定円(重基)譲状（＃６８）_nakamura196maeda
83,8　　建徳2年10月15日　　渋谷重門譲状（＃８３）_nakamura196maeda
169,1　　(年未詳)9月16日　　今川了俊(貞世)書状（＃１６９）_nakamura196maeda
97,5　　明徳3年　　　　　　渋谷重頼（？）起請文案（＃９７）_nakamura196maeda
141,21　　(年未詳)8月4日　　_市来家親書状（＃１４１）_nakamura196maeda
155,12　　貞治4年閏9月17日　_鎮西探題渋川義行書下（＃１５５）_nakamura196maeda
93,18　　元応元年12月25日　_薩摩守護代源貞綱遵行状（＃９３）_nakamura196maeda
179,12　　応安6年3月16日　　_今川了俊(貞世)書下（＃１７９）_nakamura196maeda
87,12　　応永30年8月16日　　渋谷重長譲状（＃８７）_nakamura196maeda
151,8　　嘉吉2年10月25日　　室町将軍家御教書（＃１５１）_nakamura196maeda
145,2　　(明応9年カ)9月3日　大内義興書状（＃１４５）_nakamura196maeda
2,2　 元弘3年11月9日　　_後醍醐天皇綸旨（＃２）_nakamura196maeda
44,18　 永禄2年12月23日　　島津貴久知行充行状（＃４４）_nakamura196maeda
192,25　　(永和2年)7月5日　　今川了俊(貞世)書状（＃１９２）_nakamura196maeda
186,19　　明徳2年4月13日　　_今川了俊(貞世)知行充行状（＃１８６）_nakamura196maeda
78,3　　文永2年8月3日　　　渋谷善心(明重)譲状（＃７８）_nakamura196maeda
227,2　　応長2年6月17日　　_武光法忍(師兼)同日一筆譲状（＃２２７）_nakamura196maeda
233,8　　延文2年5月19日　　_一色直氏恩賞充行状（＃２３３）_nakamura196maeda
232,7　　文保元年11月17日　_武光経兼和与状案（＃２３２）_nakamura196maeda
226,1　　正和3年10月3日　　_藤原親郷等勘渡文書目録（＃２２６）_nakamura196maeda
187,20　　永和元年11月10日　_今川了俊(貞世)感状（＃１８７）_nakamura196maeda
79,4　　弘安2年12月23日　　関東裁許状案（＃７９）_nakamura196maeda
193,26　　(至徳2年カ)8月10日_今川了俊(貞世)自筆書状（＃１９３）_nakamura196maeda
45,19　 天文6年3月14日　　_島津勝久知行充行状（＃４５）_nakamura196maeda
51,12　　建長5年11月29日　　渋谷定心同明重連署譲状案（＃５１）_nakamura196maeda
3,3　 元弘3年11月9日　　_後醍醐天皇綸旨（＃３）_nakamura196maeda
144,1　　(明応9年)正月11日　大内義興書状（＃１４４）_nakamura196maeda
150,7　　(年未詳)6月13日　　酒匂伊景書状（＃１５０）_nakamura196maeda
178,11　　永和2年4月20日　　_今川了俊(貞世)挙状（＃１７８）_nakamura196maeda
86,11　　応永13年11月15日　_渋谷重頼譲状（＃８６）_nakamura196maeda
92,17　　建徳2年12月2日　　_渋谷重門（？）譲状案（＃９２）_nakamura196maeda
84,9　　嘉暦3年12月21日　　渋谷惟重遺領注進状案（＃８４）_nakamura196maeda
90,15　　弘安3年5月8日　　　渋谷正善(有重)譲状（＃９０）_nakamura196maeda
146,3　　(明応9年カ)3月13日_大内義興書状（＃１４６）_nakamura196maeda
152,9　　(年未詳)正月25日　_直忠書状（＃１５２）_nakamura196maeda
47,1　　永伝元年8月21日　　渋谷重豊譲状（＃４７）_nakamura196maeda
1,1　 元弘3年11月9日　　_後醍醐天皇綸旨（＃１）_nakamura196maeda
53,16　　建長2年10月20日　　渋谷定心置文案（＃５３）_nakamura196maeda
185,18　　(年未詳)9月24日　　今川了俊(貞世)自筆書状（＃１８５）_nakamura196maeda
191,24　　(年未詳)4月21日　　今川了俊(貞世)書状（＃１９１）_nakamura196maeda
218,5　　貞和7年5月29日　　_足利直冬御判御教書（＃２１８）_nakamura196maeda
230,5　　正和5年3月13日　　_武光兼治避状（＃２３０）_nakamura196maeda
224,11　　(年月日欠)　　　　_武光氏系図（＃２２４）_nakamura196maeda
225,12　　応永3年11月16日　　島津久哲(伊久)名字書出（＃２２５）_nakamura196maeda
231,6　　元徳3年8月21日　　_沙弥きやうにん田地売劵（＃２３１）_nakamura196maeda
219,6　　建武4年2月12日　　_足利直義御判御教書（＃２１９）_nakamura196maeda
190,23　　至徳3年5月13日　　_今川了俊(貞世)自筆書状（＃１９０）_nakamura196maeda
184,17　　至徳3年正月6日　　_今川了俊(貞世)自筆書下（＃１８４）_nakamura196maeda
52,15　　貞和2年11月26日　　渋谷定円(重基)置文案（＃５２）_nakamura196maeda
46,20　 天文5年7月23日　　_島津勝久知行充行状（＃４６）_nakamura196maeda
153,10　　明徳元年7月18日　　室町将軍家御教書（＃１５３）_nakamura196maeda
147,4　　(年未詳)7月18日　　相良為続書状（＃１４７）_nakamura196maeda
91,16　　貞和2年6月3日　　　渋谷重広自筆譲状（＃９１）_nakamura196maeda
85,10　　嘉吉元年2月27日　　渋谷重長譲状（＃８５）_nakamura196maeda
